time,yo,
3.255,740,
3.262,744,
3.27,734,
3.277,740,
3.284,739,
3.291,736,
3.298,740,
3.305,742,
3.312,740,
3.32,745,
3.327,744,
3.334,744,
3.341,746,
3.348,742,
3.355,740,
3.362,748,
3.37,735,
3.377,745,
3.384,741,
3.391,736,
3.398,738,
3.405,739,
3.412,733,
3.42,733,
3.427,737,
3.434,751,
3.441,795,
3.448,825,
3.455,829,
3.462,792,
3.47,749,
3.477,728,
3.484,733,
3.491,719,
3.498,727,
3.505,731,
3.512,721,
3.52,730,
3.527,730,
3.534,729,
3.541,735,
3.548,731,
3.555,732,
3.562,740,
3.57,736,
3.577,736,
3.584,742,
3.591,732,
3.598,737,
3.605,736,
3.612,737,
3.62,738,
3.627,743,
3.634,736,
3.641,746,
3.648,743,
3.655,743,
3.662,748,
3.67,745,
3.677,743,
3.684,752,
3.691,746,
3.698,747,
3.705,755,
3.713,742,
3.72,748,
3.727,752,
3.734,743,
3.741,743,
3.748,739,
3.755,731,
3.762,740,
3.77,729,
3.777,739,
3.784,730,
3.791,735,
3.798,741,
3.805,732,
3.812,734,
3.82,741,
3.827,734,
3.834,737,
3.841,738,
3.848,731,
3.855,738,
3.862,738,
3.87,729,
3.877,743,
3.884,739,
3.891,733,
3.898,741,
3.905,732,
3.912,737,
3.92,742,
3.927,732,
3.934,735,
3.941,739,
3.948,731,
3.955,736,
3.962,742,
3.97,731,
3.977,738,
3.984,742,
3.991,737,
3.998,746,
4.005,740,
4.012,738,
4.02,748,
4.027,739,
4.034,741,
4.041,747,
4.048,737,
4.055,740,
4.062,740,
4.07,733,
4.077,738,
4.084,738,
4.091,733,
4.098,739,
4.105,734,
4.112,733,
4.12,747,
4.127,784,
4.134,812,
4.141,828,
4.148,782,
4.155,750,
4.162,731,
4.17,717,
4.177,730,
4.184,731,
4.191,724,
4.198,732,
4.205,731,
4.212,727,
4.22,736,
4.227,733,
4.234,728,
4.241,736,
4.248,731,
4.255,739,
4.262,740,
4.27,734,
